"","TAZ_ID","State","County","Town","RPA","Minority","Low_inc","Jobs30Hwy","Jobs60Trn","Retl30Hwy","Retl60Trn","HEdu20Hwy","HEdu40Trn","Heal20Hwy","Heal40Trn","TrnProdTm","TrnAttrTm","HwyProdTm","HwyAttrTm","JobsAccCmp","RetlAccCmp","HEduAccCmp","HealAccCmp","CongVMT_sqmi","TotalVMT_sqmi","TotalVHT_sqmi","CO_sqmi","NOX_sqmi","VOC_sqmi","CO2_sqmi"
"19",19,"MA","Suffolk","Boston","MAPC",0,0,1026267,1007960,125997,114804,63453,219742,1870,4660.333496,36.327404,36.034069,38.151127,38.798714,1017870.188,120863.125,135137.8281,3149.837891,2063807.733,2282226.761,142557.0758,2380.92696,124.894439,73.029261,846531.3387
"20",20,"MA","Suffolk","Boston","MAPC",0,0,1078706,997459,130033,112628,51327,220323,2305,3954.833252,32.062641,32.346085,24.267006,25.339809,1046370.125,123105.9141,118586.4141,2961.624023,2394802.29,3744279.597,182963.0996,3541.320017,176.817123,92.636534,1091492.407
"21",21,"MA","Suffolk","Boston","MAPC",0.289812332,0.298538622,945810,1011163,112070,116188,106149,209093,1700.5,4360,35.617085,35.237103,32.719471,34.045952,983497.6875,114444.7656,165514.7344,3234.179932,514682.3123,655625.4586,70992.91837,814.626634,33.444361,27.507207,299190.7658
"22",22,"MA","Suffolk","Boston","MAPC",0,0,967807,973358,112522,111781,107812,212817,1897.5,3466.333252,42.457691,41.5905,48.966415,54.083954,970701.5625,112135.6094,162566.4531,2715.562256,264681.9605,375366.6012,26228.19395,382.080212,15.247366,12.573039,138564.5158
"23",23,"MA","Suffolk","Boston","MAPC",0.25,0,990923,1011929,114494,116510,153759,232494,1897.5,5163.333496,37.01614,36.168331,45.797314,50.452526,1002668.813,115621.2656,197784.6406,3723.630371,0,0,0,0,0,0,0
"24",24,"MA","Suffolk","Boston","MAPC",0.332369942,0.256684492,998050,1012296,115154,116463,141121,211769,1672.5,4906.333496,39.17881,39.106148,39.295628,41.902374,1006056.5,115889.6797,180826.2969,3489.965088,146018.8587,200997.7779,26732.9877,297.709948,15.653405,10.066153,112084.3892
"25",25,"MA","Suffolk","Boston","MAPC",0.120041216,0.277915633,966228,1007930,111158,114251,148747,232494,2541.833252,5163.333496,29.039766,29.023952,24.689913,24.90476,986653.4375,112672.9375,189765.6563,3825.824463,679248.9733,978463.9985,68236.01019,1004.408731,41.011071,31.704991,352237.8567
"26",26,"MA","Suffolk","Boston","MAPC",0.090106007,0.219730942,1010268,978879,118039,108680,200489,200489,3398.833252,4989.333496,32.951626,32.936981,24.668777,25.823982,997227.625,114150.875,200489,4059.596191,536619.8563,680648.9889,44243.74393,678.239869,23.385708,20.78665,226162.4848
"27",27,"MA","Suffolk","Boston","MAPC",0.183762376,0.321428571,977939,1002165,112677,114057,156791,212515,1672.5,4659.333496,31.381598,31.825096,23.628601,24.59392,990009.375,113364.5781,184554.8438,3160.655029,267977.5876,366113.1155,42537.04254,629.955858,41.491263,23.625007,267955.1444
"28",28,"MA","Suffolk","Boston","MAPC",0.099599822,0.219952867,992638,992440,115564,112761,170480,212515,2033.333374,4989.333496,32.191422,32.616043,26.637302,27.93833,992545.25,114251.3203,190165.4219,3417.658691,71693.33786,144715.663,16281.60771,226.9413,20.034469,8.048115,99186.29491
"29",29,"MA","Suffolk","Boston","MAPC",0.638297872,0,1028777,1044556,122546,120934,106149,212233,3284.5,5155.833496,40.84565,40.851944,48.994312,52.042076,1036526.563,121754.2813,158250.7969,4203.581543,349052.4783,494986.1051,45341.19067,685.385437,42.366451,22.089962,259069.7146
"30",30,"MA","Suffolk","Boston","MAPC",0.151185771,0.23198594,961624,1037284,109504,120367,119427,220481,1475.5,5439.333496,44.556698,43.941654,39.729469,41.325996,1011256.063,116629.9922,185717.1406,4075.724609,641910.941,810986.3754,95648.39663,1355.22272,102.243809,50.008057,585148.9825
"31",31,"MA","Suffolk","Boston","MAPC",0.100591716,0.235849057,993708,1030182,113639,117678,121892,233145,2241.833252,5163.333496,35.146339,35.048649,41.682316,45.000568,1012803.313,115753.5469,180136.4219,3771.330322,19241.29039,80732.59386,5822.007741,95.945931,8.836771,2.78084,37472.11208
"32",32,"MA","Suffolk","Boston","MAPC",0.451612903,0,1048706,1045262,125414,120533,110952,212233,3059.5,5439.333496,34.019848,33.521374,36.96608,39.755836,1046875.875,122820.4766,164767.5938,4324.022949,4938382.094,5901132.736,408094.412,6556.624403,374.183871,213.605999,2496204.647
"33",33,"MA","Suffolk","Boston","MAPC",0.322834646,0.328571429,1051177,1029569,124329,119529,119514,231980,3979.5,5613.333496,38.736263,38.655838,47.818901,52.359135,1039874.625,121818.2813,178340.9844,4834.100586,167583.9614,245650.9946,31993.47693,393.346161,23.848068,13.97123,158665.4365
"34",34,"MA","Suffolk","Boston","MAPC",0.137203166,0.334346505,952301,1026317,108227,118093,116200,233145,1475.5,5613.333496,31.555227,31.725397,37.603695,40.006104,997380.5,114235.8906,187425.3438,3995.647217,0,0,0,0,0,0,0
"35",35,"MA","Suffolk","Boston","MAPC",0,0,1030086,1022341,120378,119002,112481,232631,2198.5,5613.333496,37.717922,37.233673,50.348278,54.096428,1025828.5,119621.6016,178528.9844,4075.67749,40083.83422,68233.28087,7092.99357,103.518911,6.353903,3.489792,40631.80737
"36",36,"MA","Suffolk","Boston","MAPC",0.286666667,0.315789474,1062592,1027695,127228,119882,106149,213166,3782.5,5439.333496,37.220673,35.851978,48.041027,50.923763,1043723.063,123256,164013.3125,4678.353027,125924.948,173772.7955,13507.09387,218.730233,13.01245,6.442042,77137.94056
"37",37,"MA","Suffolk","Boston","MAPC",0.56,0,950190,1032904,114866,118916,53266,212233,2776,5242.333496,33.445705,32.318787,33.139801,32.874683,992614.9375,116943.2891,134801.9219,4041.009521,20812.30895,40937.69438,8531.046998,66.842805,2.748201,2.423732,25543.57836
"38",38,"MA","Suffolk","Boston","MAPC",0,0,984049,1019451,119273,116228,53266,212320,2620,5439.333496,36.468597,35.952984,45.962017,46.137062,1003601,117591.3047,141108.9375,4177.072266,55516.27025,77592.16825,15780.77124,151.623195,13.370596,6.161812,72139.44342
"39",39,"MA","Suffolk","Boston","MAPC",0.540816327,0,918500,1011534,113839,114821,53266,205318,1192,5242.333496,35.124691,34.656311,39.690624,38.104073,969931.375,114381.875,137323.9219,3431.119873,413756.7675,589368.5481,67598.94316,786.404926,39.354006,26.581736,294424.8712
"40",40,"MA","Suffolk","Boston","MAPC",0.114285714,0.25,1070971,1029397,128119,118254,121892,234539,3517.833252,5613.333496,33.932205,33.536472,42.360012,47.200359,1047044.375,122441.4922,186722.7344,4723.837891,0,0,0,0,0,0,0
"41",41,"MA","Suffolk","Boston","MAPC",0.5,0,1075470,1021280,127080,116440,110952,232631,2286.5,5613.333496,35.586861,34.696728,33.846958,38.150787,1052133.5,122497.9531,163352.1875,3719.177246,449262.0344,577694.8768,93229.39907,1039.818785,64.105494,39.119134,438990.5724
"42",42,"MA","Suffolk","Boston","MAPC",0.291970803,0.335276968,1014854,1030551,124292,118099,106149,231980,2198.5,5613.333496,29.656305,29.30018,31.500086,33.180256,1024122.688,120635.2031,180448.6719,4214.863281,216989.6661,374581.951,72011.52055,685.642131,39.6882,26.122151,288126.9446
"43",43,"MA","Suffolk","Boston","MAPC",0,0,1038922,1020830,126508,117896,63940,231980,2620,5613.333496,38.031448,37.375164,50.028557,52.676315,1028909.875,121742.1563,156932.5625,4276.49707,1649399.996,1979914.713,251406.6608,3310.63343,231.416173,121.952467,1406745.352
"44",44,"MA","Suffolk","Boston","MAPC",0,0,977499,1023101,120094,117481,56493,231052,1192,5155.833496,38.327297,37.634445,48.798672,49.881954,1001618.75,118711.9219,148820.9063,3288.554443,0,0,0,0,0,0,0
"45",45,"MA","Suffolk","Boston","MAPC",0,0,963609,1005688,118324,113787,56493,212233,1192,4958.833496,37.226482,36.589844,44.447456,44.638222,985610.6875,115951.7578,137924.2031,3161.550049,271538.9826,425764.7543,56950.83573,663.112921,33.774654,22.770492,252474.3619
"46",46,"MA","Suffolk","Boston","MAPC",0.5,0.391304348,896359,989904,110439,111493,53266,205318,1192,4807.333496,38.253323,37.725853,43.966415,43.389427,943096.0625,110965.6016,129234.2969,2998.294434,12313.13625,30304.0504,3892.810745,45.748317,2.522767,1.558854,17530.52122
"47",47,"MA","Suffolk","Boston","MAPC",0.086956522,0.272727273,1063101,1025017,126498,115899,116454,233145,2350,5613.333496,33.176502,32.984085,34.457294,38.143509,1042506.75,120766.5234,179555.3906,4114.667969,0,25679.96359,2180.559399,33.993494,1.735999,1.017139,11726.6354
"48",48,"MA","Suffolk","Boston","MAPC",0,0,1055002,1012857,125635,116424,109446,231980,1915,5613.333496,37.531467,37.134937,47.947891,50.579311,1032006.625,120609.2422,176303.7344,3932.906494,467195.8653,1224186.833,129752.8044,1790.395115,107.297215,58.640512,680920.746
"49",49,"MA","Suffolk","Boston","MAPC",0,0,962885,1008385,118526,115029,56493,212320,1192,5155.833496,39.374256,38.87759,48.967449,49.195393,986923.375,116678.4844,138818.625,3286.149658,42425.8329,241927.598,22210.5396,329.711273,19.638966,10.163605,119725.9018
"50",50,"MA","Suffolk","Boston","MAPC",0.212643678,0.401785714,970205,990633,119397,112770,56493,223838,1192,4455.833496,38.301052,37.87122,42.948692,43.695541,980953.5,115910.1016,144544.2813,2909.318848,1265985.177,1374039.957,75225.58438,1308.927547,69.542116,37.47296,446287.0717
"51",51,"MA","Suffolk","Boston","MAPC",0,0.142857143,1067518,1070057,127079,123891,118008,234539,2665,5665.333496,31.770197,31.416119,41.11298,45.072498,1069082.25,125114.8906,189802.3438,4513.494629,492894.7196,654107.3747,99482.00746,1135.735328,69.521114,41.949376,472168.6731
"52",52,"MA","Suffolk","Boston","MAPC",0.5,0,1059052,1051329,127268,120306,109446,233145,1915,5613.333496,33.891907,33.522869,41.274609,44.707546,1054642.125,123292.7266,180077.5469,4026.730713,171273.9755,313379.1875,49813.09857,549.567811,30.972677,20.463905,225555.8503
"53",53,"MA","Suffolk","Boston","MAPC",0,0,983538,1003945,118794,114174,57874,231980,1192,5545.333496,39.442013,38.926304,46.248531,47.025963,994090.75,116404.9375,147906.3438,3443.162109,171242.5558,336201.755,38384.58777,498.727966,28.766345,16.647732,190689.5375
"54",54,"MA","Suffolk","Boston","MAPC",0,0,970895,1005278,119079,113700,56493,231698,1192,5261.833496,37.216614,36.656395,41.345501,41.775795,989228.5625,116210.8281,149915.1719,3362.101807,91156.80934,152486.1488,15470.21225,233.057783,14.707777,8.124035,92794.01065
"55",55,"MA","Suffolk","Boston","MAPC",0.028571429,0.333333333,1013900,1026551,124825,116384,63099,231980,1915,5613.333496,37.638054,37.27269,45.227119,46.522015,1020903.063,120152.4531,156583.7969,3962.228271,209928.5722,553106.9586,61530.12588,808.978321,44.421905,26.950453,303948.1983
"56",56,"MA","Suffolk","Boston","MAPC",0,0,996272,1016522,121732,115882,58053,231980,1915,5545.333496,39.476772,38.844589,47.669598,48.621727,1006966.125,118642.5703,149904.75,3832.198486,0,0,0,0,0,0,0
"57",57,"MA","Suffolk","Boston","MAPC",0,0,991129,1016253,120731,115361,56493,231785,1192,5261.833496,39.475559,39.175827,44.338001,45.318848,1003572.875,118071.25,143314.875,3207.782715,0,49325.77618,4131.201754,64.569994,3.887068,1.956867,23176.26779
"58",58,"MA","Suffolk","Boston","MAPC",0,0,971449,999397,118839,113869,56493,231486,1192,5064.833496,41.081711,40.444622,46.839939,47.253674,985533.875,116334.2813,144683.7969,3143.782471,0,0,0,0,0,0,0
"59",59,"MA","Suffolk","Boston","MAPC",0,0,1002170,1024644,122849,117227,58053,231980,1915,5095.333496,38.740475,38.480595,46.61676,47.469456,1014503.188,119763.7891,153499.7344,3660.286133,0,0,0,0,0,0,0
"60",60,"MA","Suffolk","Boston","MAPC",0,0,998730,1011300,122554,114652,56493,231980,1915,5095.333496,38.857277,38.197903,45.539661,46.331028,1005594.563,118238.6719,152327.375,3651.796631,0,0,0,0,0,0,0
"61",61,"MA","Suffolk","Boston","MAPC",0.520634921,0.394230769,1080201,1083337,129016,126373,118659,234539,2665,5665.333496,31.064251,30.864571,37.564629,41.272263,1082112.25,127405.1875,189284.1875,4493.608398,73954.88819,146102.1376,15038.23,212.721853,12.659442,7.044882,81155.50398
"62",62,"MA","Suffolk","Boston","MAPC",0.296741855,0.399026764,1088844,1042350,130153,119615,121037,233145,3234.333252,5613.333496,29.594692,29.808197,31.094946,34.938389,1060834.625,123804.6016,188574.1719,4667.513184,95414.49773,111445.5416,14749.41079,177.176039,10.872341,6.308812,71457.05789
"63",63,"MA","Suffolk","Boston","MAPC",0.18627451,0,1070754,1077761,128247,125263,110975,233145,2350,5613.333496,32.373989,32.516083,43.150314,46.715511,1074883.375,126488.4063,182974.375,4273.205078,0,7224.985921,608.267747,9.581111,0.561909,0.286719,3399.387969
"64",64,"MA","Suffolk","Boston","MAPC",0.484375,0.384615385,1024480,1039675,126414,120015,44721,231980,1870,5613.333496,38.463264,38.20602,47.131653,48.695694,1032755.313,122929.0625,146703.5781,3908.645752,6173.48148,21327.00089,2042.858744,27.610418,1.248765,0.842479,9408.187805
"65",65,"MA","Suffolk","Boston","MAPC",0.489583333,0.404255319,1056003,1038929,131250,118831,46281,231980,1915,5163.333496,35.975418,36.152489,37.324471,40.453213,1048484.813,125781.5938,128049.1328,3345.326416,570199.9294,1195860.34,103347.4024,1553.657726,94.851597,52.357914,604730.9548
"66",66,"MA","Suffolk","Boston","MAPC",0,0.222222222,996824,1022231,122098,115832,56493,231980,1915,5095.333496,37.608849,36.980114,42.82756,43.883972,1008562.125,119203.0781,137568.7813,3384.328125,972373.1841,1180022.007,125743.9376,1643.200505,102.723302,57.835041,668007.5903
"67",67,"MA","Suffolk","Boston","MAPC",0,0,989206,996804,122079,113076,56493,229434,1915,4376.833496,41.229176,40.605007,46.669727,47.559933,993078,117490.9531,144625.8438,3169.580566,1223965.629,1572133.344,158230.558,2166.733505,132.512042,79.034954,897768.8433
"68",68,"MA","Suffolk","Boston","MAPC",0,0,949063,982012,118654,111775,56493,224571,1192,4179.833496,41.114521,40.417358,47.405849,47.386375,963649,115608.7734,130898.4375,2514.666016,732337.2747,980568.8243,92124.40758,1313.417352,82.562507,48.966333,555740.7222
"69",69,"MA","Suffolk","Boston","MAPC",0.461197339,0.4,1095043,1048202,132081,122196,122543,233290,3309.333252,5665.333496,33.195827,33.284016,34.217606,38.178539,1070177.75,126833.6172,181332.3906,4560.002441,301583.7814,367490.7874,47931.72217,605.864505,40.653694,22.208547,253470.6696
"70",70,"MA","Suffolk","Boston","MAPC",0.978142077,0.404494382,1091726,1048113,131618,120954,103804,232631,2468,5613.333496,34.267159,34.189438,37.132668,42.210182,1071588.5,126694.1094,163287.3906,3920.297852,11086.44142,13376.3095,3064.359389,28.789878,2.236794,1.206599,13659.55716
"71",71,"MA","Suffolk","Boston","MAPC",0,0,949050,997372,109705,112831,140186,231980,2033.333374,5163.333496,39.44738,39.357788,37.509396,36.066467,962637.75,110584.0156,165997.9219,2913.470459,125066.3503,167878.1886,15036.46902,223.991657,11.69193,6.810445,78725.68684
"72",72,"MA","Suffolk","Boston","MAPC",0.050251256,0.288135593,1070829,1019663,129118,115998,162805,214278,3309.333252,4395.833496,34.891533,34.247021,34.866962,37.442287,1048257.188,123330.1094,185512.3906,3788.644043,173665.1592,255715.2715,27264.81453,385.708331,27.51411,13.282017,156878.479
"73",73,"MA","Suffolk","Boston","MAPC",0.167247387,0.296089385,1071898,1017430,128991,114916,163456,212884,3309.333252,4283.833496,29.712578,29.237602,23.867521,25.405769,1044843.813,121999.9609,188006.8438,3793.366699,0,13840.98163,1157.499044,18.103215,1.234198,0.550193,6692.272814
"74",74,"MA","Suffolk","Boston","MAPC",0.155717762,0.583333333,1093878,1031398,131879,117356,163456,209489,3309.333252,5041.333496,31.785633,31.285616,36.739151,40.509644,1055759.75,123018.7031,191540.1094,4366.003418,0,0,0,0,0,0,0
"75",75,"MA","Suffolk","Boston","MAPC",0.438423645,0.426035503,1096868,1045562,131828,121492,149911,233292,2665,5491.333496,28.964214,29.134663,27.725456,31.048197,1070141.5,126443.7344,193346.1094,4137.303223,34607.21187,50788.6449,4910.450682,67.821118,4.224995,2.187631,25354.00521
"76",76,"MA","Suffolk","Boston","MAPC",0.598002497,0.457142857,1105367,1041380,132993,120246,117105,231703,2423,5155.833496,30.102499,30.575264,27.641581,31.174297,1073564.875,126657.625,174061.3594,3781.24585,0,0,0,0,0,0,0
"77",77,"MA","Suffolk","Boston","MAPC",0.864468864,0.503067485,1089924,1037698,131260,117524,115576,231785,2423,5329.833496,30.135273,30.412457,27.04162,29.26878,1064437.25,124556.7109,172286.9375,3841.558594,746516.0096,1016474.683,121941.445,1478.255385,94.104504,52.962782,612392.1021
"78",78,"MA","Suffolk","Boston","MAPC",0.400428266,0.296819788,1063373,1004439,126849,113968,161299,204611,4346.833496,4283.833496,37.337688,37.002327,29.211615,30.968748,1036927.188,121068.8359,180734.6563,4318.563477,198036.5785,315818.1875,42097.61893,485.069781,26.233167,16.723015,187047.7306
"79",79,"MA","Suffolk","Boston","MAPC",0.729591837,0.71641791,1080887,1018309,129323,114744,154722,212884,3234.333252,4705.833496,33.713894,33.56649,32.669399,35.422146,1050341.875,122206.7891,183111.6719,3952.592529,413725.6179,524406.1257,67634.24839,861.053398,54.258444,30.906504,352566.0276
"80",80,"MA","Suffolk","Boston","MAPC",0.666666667,0,1083707,1023620,130182,117051,117105,212884,2468,4584.833496,36.459156,35.75201,40.570801,44.10413,1054574.625,123815.6172,163542.0469,3494.315674,160010.694,209468.2698,27235.15361,357.74211,23.680066,13.248058,150927.2226
"81",81,"MA","Suffolk","Boston","MAPC",0.754352031,0.72244898,1086571,1022236,130198,118870,117105,205969,2423,4958.833496,34.549229,34.394749,37.771416,41.271515,1054375.5,124529.0781,161575.6094,3692.018799,18679.53267,23866.92238,2852.234487,39.650287,2.585403,1.442863,16504.71851
"82",82,"MA","Suffolk","Boston","MAPC",0.772413793,0.7265625,1083164,1007019,130349,114828,103804,224701,2423,4508.833496,31.996399,32.748108,26.603451,29.799706,1043826.875,122330.7344,166260.375,3500.558838,144983.872,306952.4323,35155.72175,455.997594,26.570642,15.251675,174940.3519
"83",83,"MA","Suffolk","Boston","MAPC",0.978098291,0.717528373,1078597,1005687,129637,114459,118572,205969,2504,4508.833496,29.083157,29.585127,20.255014,21.977737,1044787.813,122598.7813,159099.0781,3433.666504,668785.2261,1148328.647,74556.84731,1215.887718,51.744866,35.250448,397976.9157
"84",84,"MA","Suffolk","Boston","MAPC",0.153887983,0.231132075,981032,966167,111757,106361,204907,163581,4246.333496,4283.833496,33.005371,32.657501,22.913485,23.638067,973399.5,108986.3828,183687.8594,4265.587891,0,11953.50186,835.913974,14.320606,0.504771,0.367055,4170.831549
"85",85,"MA","Suffolk","Boston","MAPC",0.149952696,0.149034749,981741,981371,113431,109217,187143,164975,4969.333496,4508.833496,32.985806,32.297169,23.529152,23.846764,981556.8125,111332.5938,176104.2031,4740.022949,100713.3005,215579.0029,15039.02612,253.299373,12.523443,6.747991,80613.09147
"86",86,"MA","Suffolk","Boston","MAPC",0.143136297,0.147424512,1024634,968121,119042,106552,187143,161802,4534.333496,4283.833496,37.041733,36.212181,30.500265,32.167912,992610.75,111964.5,172783.4531,4392.387207,204299.3863,309788.43,36044.07749,418.094206,15.296662,12.914936,140391.6052
"87",87,"MA","Suffolk","Boston","MAPC",0.163602941,0.264102564,982322,980544,110726,110631,207283,162877,5063.333496,4104.5,33.501911,31.935213,32.244419,34.013638,981324.375,110672.6953,182366.5938,4525.327637,205168.4151,279608.2626,26727.2054,376.610641,20.849754,11.966387,137138.4424
"88",88,"MA","Suffolk","Boston","MAPC",0.133802817,0.151162791,991698,1023423,114926,117496,188037,212223,4969.333496,4620.833496,35.761822,34.818279,38.153664,39.829044,1011184.125,116504.5469,202892.5469,4755.277344,97174.4659,130618.9075,9170.520176,159.438726,9.386712,4.701162,56024.72741
"89",89,"MA","Suffolk","Boston","MAPC",0.169934641,0.158415842,984063,1028450,113611,119483,180033,214278,4969.333496,4620.833496,30.296274,29.640636,33.805992,35.384747,1010389.438,117093.75,200344.0938,4762.633789,78465.59834,150235.3661,12187.34499,186.066119,9.132007,5.246043,61172.10852
"90",90,"MA","Suffolk","Boston","MAPC",0.172727273,0.144578313,1021894,1024471,120431,118165,180033,214278,4969.333496,4620.833496,34.874989,33.562923,38.401398,40.299545,1023325.438,119172.2188,199056.25,4775.739746,56700.96071,213873.7759,20768.98162,286.785691,13.004338,8.749202,98068.34393
"91",91,"MA","Suffolk","Boston","MAPC",0.167202572,0.144444444,1029627,1000541,121493,112924,187143,195337,4534.333496,4508.833496,36.031872,34.773273,33.928181,36.281803,1015619.188,117366.1719,191089.2344,4522.052734,244075.457,368772.0351,29881.35028,479.226832,24.030705,14.708766,167551.9252
"92",92,"MA","Suffolk","Boston","MAPC",0.177929023,0.216260163,965956,941928,109779,104169,205418,164324,4267.333496,4133.833496,34.061356,32.612083,26.219419,26.953259,953008.8125,106756.1328,183275.0469,4195.398926,71970.16312,168954.6203,11316.69097,200.266054,10.728082,5.399961,65513.97859
"93",93,"MA","Suffolk","Boston","MAPC",0.205555556,0.254545455,990383,977405,112346,109913,205418,163874,5063.333496,4605.833496,36.626339,35.164795,37.976711,40.865643,982823.9375,110928.9141,181220.8281,4796.864258,14466.6142,188403.8437,15974.79938,242.625254,9.223279,6.786449,76090.74374
"94",94,"MA","Suffolk","Boston","MAPC",0.209726444,0.266871166,984287,986866,112995,109733,205418,165255,4990.333496,4560.833496,33.727535,33.072945,29.64151,31.464422,985664.125,111253.1406,183971.5156,4760.986328,158834.5588,225255.723,15345.92374,269.775547,16.241387,7.807927,93873.46509
"95",95,"MA","Suffolk","Boston","MAPC",0.280769231,0.256578947,986995,992367,114364,110514,205418,195337,4990.333496,4620.833496,36.485958,35.393368,37.284286,39.757133,989894.75,112285.8125,199976.375,4790.880859,15057.67707,187140.355,15607.37135,236.401399,9.942463,6.610542,75329.16176
