TAZ_ID,pop_pct_min,pop_pct_non-min,pop_pct_low,pop_pct_non_low,dif_CO_sqmi,dif_CongVMT,dif_Retl60Trn,dif_Jobs60Trn,dif_HEdu40Trn,dif_Heal40Trn,dif_HwyAttrTm,dif_TrnAttrTm,dif_HwyProdTm,dif_TrnProdTm
1,0.810178817,0.189821183,0,1,-54.076322000000005,-26705.916199999978,-748,-3264,0,0,0.15014699999999692,-0.2815969999999979,0.24209199999999953,-0.2876930000000044
2,0.5,0.5,0,1,-413.3571710000001,-81727.41599999997,-836,-5825,0,0,0.39930000000000376,-0.12544599999999662,0.4173279999999977,-0.15056200000000075
3,0.298136646,0.701863354,0.333333333,0.666666667,-52.244711999999936,-8972.3848,-1672,-5844,0,0,0.3656700000000015,-0.08465900000000204,0.38053899999999885,-0.11066900000000146
4,0.129032258,0.870967742,0.317757009,0.682242991,-345.1561610000001,-119955.46640000003,-521,-2019,0,0,0.6352390000000057,0.06792099999999834,0.43359399999999937,-0.026839999999999975
5,0.072498502,0.927501498,0.332123412,0.667876588,-9.698656999999997,0,-293,-1356,0,0,0.3788470000000004,-0.1035730000000008,0.24226999999999776,-0.2080990000000007
6,0.079981291,0.920018709,0.28432108,0.71567892,-91.53600000000006,-60694.056500000006,-386,-903,0,0,0.38241700000000023,-0.13742699999999886,0.29329099999999997,-0.23153699999999944
7,0.107954545,0.892045455,0.196629213,0.803370787,-534.7871269999998,-79938.902,-135,-328,0,0,0.3508509999999987,-0.05561099999999897,0.30010599999999954,-0.10612499999999869
8,0.102072141,0.897927859,0.287001287,0.712998713,-0.051973000000000005,0,-741,-3226,0,0,0.2925990000000027,-0.08687599999999662,0.2788599999999981,-0.167117999999995
9,0.081060606,0.918939394,0.196969697,0.803030303,-0.8571729999999995,0,-217,-690,0,0,0.3028750000000002,-0.10489700000000113,0.26331499999999863,-0.17877100000000468
10,0.079562044,0.920437956,0.347428571,0.652571429,-39.57151799999997,-26757.021700000012,-788,-3747,0,0,0.32855400000000046,-0.09928099999999773,0.32474099999999595,-0.1429289999999952
11,0.127228027,0.872771973,0.336944745,0.663055255,-23.112295999999986,-10755.05769999999,-720,-6258,0,0,0.277903000000002,-0.017012999999998613,0.3094830000000002,-0.03996999999999673
12,0.038194444,0.961805556,0.329341317,0.670658683,-31.967506999999983,-10410.694470000002,-362,-1573,0,0,0.30957100000000537,-0.09279200000000287,0.29854999999999876,-0.12099100000000362
13,0.097207859,0.902792141,0.334983498,0.665016502,-25.55996499999992,-59390.50430000003,-638,-5896,0,0,0.18175499999999545,0.08107800000000509,0.4145170000000036,0.061588999999997895
14,0.243781095,0.756218905,0.401785714,0.598214286,-28.667267000000038,-1657.8401000000304,-538,-5409,0,0,0.04448699999999661,-0.06367099999999937,0.19018599999999708,-0.09289899999999562
15,0,1,0,1,-20.612216999999987,-8857.100600000005,-523,-1182,0,0,0.24419800000000436,-0.1537049999999951,0.31224799999999675,-0.17148599999999448
16,0,1,0,1,0,0,-39,-161,0,0,0.11813000000000073,-0.10295099999999735,0.26313400000000087,-0.12400000000000233
17,0.224747475,0.775252525,0.394366197,0.605633803,-2.1613339999999823,-738.9444400000066,-44,-113,0,0,0.14642299999999864,-0.1198309999999978,0.22655900000000173,-0.15859999999999985
18,0.24691358,0.75308642,0.395973154,0.604026846,0,0,-1216,-7204,0,0,0.0919799999999995,-0.10927999999999827,0.17162299999999675,-0.14217299999999966
19,0,1,0,1,9.980710999999701,2886.6729999999516,-480,-4260,0,0,0.08296199999999487,-0.07831600000000094,0.1995199999999997,-0.09674799999999806
20,0,1,0,1,-29.873733999999786,-58961.054000000004,-537,-5126,0,0,0.026346000000000203,-0.07096399999999647,0.07132199999999855,-0.0987700000000018
21,0.289812332,0.710187668,0.298538622,0.701461378,-13.44060300000001,-11386.91650000005,-1159,-7127,0,0,0.26614800000000116,-0.11942600000000425,0.24616199999999822,-0.13393699999999598
22,0,1,0,1,-3.3866709999999784,4799.361499999999,-638,-5896,0,0,0.25255200000000144,-0.14940599999999904,0.19047499999999928,-0.1677440000000061
23,0.25,0.75,0,1,0,0,188,-4181,0,0,0.2873039999999989,-0.14425699999999608,0.1878590000000031,-0.16610299999999967
24,0.332369942,0.667630058,0.256684492,0.743315508,-10.39512400000001,-15056.28509999998,-1148,-7942,0,0,0.3055799999999991,-0.07345200000000318,0.2769130000000004,-0.06518200000000007
25,0.120041216,0.879958784,0.277915633,0.722084367,23.118869000000018,2638.254799999995,-1190,-7397,0,0,0.14218500000000134,-0.13807699999999912,0.0479699999999994,-0.15159399999999934
26,0.090106007,0.909893993,0.219730942,0.780269058,16.406622999999968,10612.228999999934,-372,-3564,0,0,0.11500700000000208,-0.0873149999999967,0.037631999999998555,-0.10385899999999992
27,0.183762376,0.816237624,0.321428571,0.678571429,-35.860570999999936,1577.7820000000065,-638,-5896,0,0,0.09282299999999921,-0.09336700000000064,0.0799449999999986,-0.1270370000000014
28,0.099599822,0.900400178,0.219952867,0.780047133,-7.894976999999983,-539.8613500000065,-465,-4116,0,0,0.11528200000000055,-0.05750300000000408,0.04133199999999704,-0.07917699999999428
29,0.638297872,0.361702128,0,1,-19.196355999999923,-5934.364000000001,-883,-3432,0,0,0.172111000000001,0.03992099999999965,0.3184699999999978,-0.012855000000001837
30,0.151185771,0.848814229,0.23198594,0.76801406,-47.49897099999998,-4427.2014999999665,-627,-2032,0,0,0.4651140000000069,-0.031204000000002452,0.47821000000000424,-0.12636900000000395
31,0.100591716,0.899408284,0.235849057,0.764150943,-0.169234000000003,17.249939999997878,-773,-6224,0,0,0.207850999999998,-0.1409450000000021,0.18542899999999918,-0.16804499999999933
32,0.451612903,0.548387097,0,1,-416.65333700000065,-673653.9500000002,-608,-3114,0,0,0.437145000000001,-0.09935399999999817,0.40599900000000133,-0.1331519999999955
33,0.322834646,0.677165354,0.328571429,0.671428571,-4.271040000000028,791.1061000000045,-760,-3472,0,0,0.2396320000000003,-0.114455999999997,0.2764279999999957,-0.17647999999999797
34,0.137203166,0.862796834,0.334346505,0.665653495,0,0,-855,-6586,0,0,0.2649460000000019,-0.13851199999999864,0.15866100000000216,-0.16084900000000246
35,0,1,0,1,-2.7235160000000036,-734.835450000006,-117,14,0,0,0.11107300000000464,-0.17205099999999618,0.18762999999999863,-0.20591799999999694
36,0.286666667,0.713333333,0.315789474,0.684210526,0.05256199999999467,988.4642000000022,-706,-5658,0,0,0.31821399999999755,-0.08617799999999676,0.3255879999999962,-0.1234889999999993
37,0.56,0.44,0,1,-1.7810479999999984,-370.93271000000095,-526,-2752,0,0,0.20786599999999567,-0.027461999999999875,0.2989460000000008,-0.04760000000000275
38,0,1,0,1,-2.4763930000000016,-750.2714100000012,-657,-2801,0,0,0.41028599999999926,-0.09944499999999579,0.44953900000000147,-0.1287499999999966
39,0.540816327,0.459183673,0,1,-51.25761,-31981.487399999984,-280,-1211,0,0,0.5792929999999998,-0.06089799999999457,0.49945799999999707,-0.10422900000000368
40,0.114285714,0.885714286,0.25,0.75,0,0,-773,-6224,0,0,0.31416699999999764,-0.19563299999999373,0.1933480000000003,-0.1984899999999996
41,0.5,0.5,0,1,27.19422499999996,-340.4971999999834,-313,-2921,0,0,0.16526400000000052,-0.1262660000000011,0.1400599999999983,-0.1599040000000045
42,0.291970803,0.708029197,0.335276968,0.664723032,1.0030679999999847,814.1392000000051,-22,-662,0,0,0.271408000000001,-0.07889199999999974,0.21185099999999935,-0.07733400000000046
