"","TAZ_ID","State","County","Town","RPA","pop_pct_min","pop_pct_non-min","pop_pct_low","pop_pct_non_low","nb_Jobs60Trn","nb_Retl60Trn","nb_HEdu40Trn","nb_Heal40Trn","nb_TrnProdTm","nb_TrnAttrTm","nb_HwyProdTm","nb_HwyAttrTm","nb_CongVMT_sqmi","nb_CO_sqmi","b_Jobs60Trn","b_Retl60Trn","b_HEdu40Trn","b_Heal40Trn","b_TrnProdTm","b_TrnAttrTm","b_HwyProdTm","b_HwyAttrTm","b_CongVMT_sqmi","b_CO_sqmi"
"19",19,"MA","Suffolk","Boston","MAPC",0,1,0,1,1012220,115284,219742,4660.333496,36.424152,36.112385,37.951607,38.715752,2060921.06,2370.946249,1007960,114804,219742,4660.333496,36.327404,36.034069,38.151127,38.798714,2063807.733,2380.92696
"20",20,"MA","Suffolk","Boston","MAPC",0,1,0,1,1002585,113165,220323,3954.833252,32.161411,32.417049,24.195684,25.313463,2453763.344,3571.193751,997459,112628,220323,3954.833252,32.062641,32.346085,24.267006,25.339809,2394802.29,3541.320017
"21",21,"MA","Suffolk","Boston","MAPC",0.289812332,0.710187668,0.298538622,0.701461378,1018290,117347,209093,4360,35.751022,35.356529,32.473309,33.779804,526069.2288,828.067237,1011163,116188,209093,4360,35.617085,35.237103,32.719471,34.045952,514682.3123,814.626634
"22",22,"MA","Suffolk","Boston","MAPC",0,1,0,1,979254,112419,212817,3466.333252,42.625435,41.739906,48.77594,53.831402,259882.599,385.466883,973358,111781,212817,3466.333252,42.457691,41.5905,48.966415,54.083954,264681.9605,382.080212
"23",23,"MA","Suffolk","Boston","MAPC",0.25,0.75,0,1,1016110,116322,232494,5163.333496,37.182243,36.312588,45.609455,50.165222,0,0,1011929,116510,232494,5163.333496,37.01614,36.168331,45.797314,50.452526,0,0
"24",24,"MA","Suffolk","Boston","MAPC",0.332369942,0.667630058,0.256684492,0.743315508,1020238,117611,211769,4906.333496,39.243992,39.1796,39.018715,41.596794,161075.1438,308.105072,1012296,116463,211769,4906.333496,39.17881,39.106148,39.295628,41.902374,146018.8587,297.709948
"25",25,"MA","Suffolk","Boston","MAPC",0.120041216,0.879958784,0.277915633,0.722084367,1015327,115441,232494,5163.333496,29.19136,29.162029,24.641943,24.762575,676610.7185,981.289862,1007930,114251,232494,5163.333496,29.039766,29.023952,24.689913,24.90476,679248.9733,1004.408731
"26",26,"MA","Suffolk","Boston","MAPC",0.090106007,0.909893993,0.219730942,0.780269058,982443,109052,200489,4989.333496,33.055485,33.024296,24.631145,25.708975,526007.6273,661.833246,978879,108680,200489,4989.333496,32.951626,32.936981,24.668777,25.823982,536619.8563,678.239869
"27",27,"MA","Suffolk","Boston","MAPC",0.183762376,0.816237624,0.321428571,0.678571429,1008061,114695,212515,4659.333496,31.508635,31.918463,23.548656,24.501097,266399.8056,665.816429,1002165,114057,212515,4659.333496,31.381598,31.825096,23.628601,24.59392,267977.5876,629.955858
"28",28,"MA","Suffolk","Boston","MAPC",0.099599822,0.900400178,0.219952867,0.780047133,996556,113226,212515,4989.333496,32.270599,32.673546,26.59597,27.823048,72233.19921,234.836277,992440,112761,212515,4989.333496,32.191422,32.616043,26.637302,27.93833,71693.33786,226.9413
"29",29,"MA","Suffolk","Boston","MAPC",0.638297872,0.361702128,0,1,1047988,121817,212233,5155.833496,40.858505,40.812023,48.675842,51.869965,354986.8423,704.581793,1044556,120934,212233,5155.833496,40.84565,40.851944,48.994312,52.042076,349052.4783,685.385437
"30",30,"MA","Suffolk","Boston","MAPC",0.151185771,0.848814229,0.23198594,0.76801406,1039316,120994,220481,5439.333496,44.683067,43.972858,39.251259,40.860882,646338.1425,1402.721691,1037284,120367,220481,5439.333496,44.556698,43.941654,39.729469,41.325996,641910.941,1355.22272
"31",31,"MA","Suffolk","Boston","MAPC",0.100591716,0.899408284,0.235849057,0.764150943,1036406,118451,233145,5163.333496,35.314384,35.189594,41.496887,44.792717,19224.04045,96.115165,1030182,117678,233145,5163.333496,35.146339,35.048649,41.682316,45.000568,19241.29039,95.945931
"32",32,"MA","Suffolk","Boston","MAPC",0.451612903,0.548387097,0,1,1048376,121141,212233,5439.333496,34.153,33.620728,36.560081,39.318691,5612036.044,6973.27774,1045262,120533,212233,5439.333496,34.019848,33.521374,36.96608,39.755836,4938382.094,6556.624403
