TAZ_ID,Town,Population,Households
256,Boston,2486,556
257,Boston,1988,805
258,Boston,2701,388
259,Boston,1709,942
260,Boston,2258,576
261,Boston,1577,853
262,Boston,1785,973
263,Boston,0,0
264,Boston,1387,755
265,Boston,2478,1237
266,Boston,2795,1740
267,Boston,1249,622
268,Boston,2258,1368
269,Boston,2320,1431
270,Boston,2516,1563
271,Boston,2646,1560
272,Boston,1677,389
273,Boston,2863,1368
274,Boston,281,117
275,Boston,1177,520
276,Boston,2942,376
277,Boston,1699,787
278,Boston,2459,4
279,Boston,1723,154
280,Boston,1638,85
281,Boston,0,0
282,Boston,2078,406
283,Boston,6,3
284,Boston,465,190
285,Boston,325,162
286,Boston,27,0
287,Boston,0,0
288,Boston,1124,0
289,Boston,1335,568
290,Boston,1471,138
291,Boston,3234,1331
292,Boston,3906,1811
293,Boston,3676,1638
294,Boston,4017,1880
295,Boston,572,287
296,Boston,2784,1305
297,Boston,1523,711
298,Boston,521,269
299,Boston,1649,709
300,Boston,1630,852
301,Boston,2476,902
302,Boston,2068,1059
303,Boston,2513,1262
304,Boston,2380,1027
305,Boston,2733,1335
306,Boston,2393,831
307,Boston,2125,924
308,Boston,2288,1165
309,Boston,3237,1695
310,Boston,327,120
311,Boston,1650,678
312,Boston,4081,1230
313,Boston,4256,1757
314,Boston,2530,1050
315,Boston,478,266
316,Boston,630,251
317,Boston,2445,970
318,Boston,123,39
319,Boston,1956,772
320,Boston,2826,1368
321,Boston,1269,653
322,Boston,1865,985
323,Boston,3663,1397
324,Boston,572,228
325,Boston,2401,1055
326,Boston,2685,1028
327,Boston,1856,719
328,Boston,2877,1255
329,Boston,2573,983
330,Boston,3080,1202
331,Boston,1936,692
332,Boston,2161,832
333,Boston,4502,2051
334,Boston,3587,1620
335,Boston,2388,937
336,Boston,2105,911
337,Boston,1985,807
338,Boston,3764,1523
339,Boston,2652,1030
340,Boston,4389,1745
341,Boston,3646,1342
342,Boston,2979,1364
343,Boston,2681,1175
344,Boston,3160,1390
345,Boston,2173,1072
346,Boston,11,3
347,Boston,1598,843
348,Boston,2773,1353
349,Boston,346,4
350,Boston,1786,699
351,Boston,1313,578
352,Boston,1611,682
353,Boston,2251,917
354,Boston,4194,1783
355,Boston,438,184
356,Boston,4079,1499
357,Boston,0,0
358,Boston,1617,652
359,Boston,1487,762
360,Boston,1977,789
361,Boston,2826,1116
362,Boston,2606,1044
363,Boston,2914,1154
364,Boston,3229,1232
365,Boston,3039,1193
366,Boston,3526,1420
367,Boston,2559,954
368,Boston,2513,970
369,Boston,3587,1309
370,Boston,4350,1668
371,Boston,4278,1637
372,Boston,2971,1182
373,Boston,3095,1182
374,Boston,1820,718
375,Boston,1616,644
376,Boston,872,392
377,Boston,814,327
378,Boston,922,352
379,Boston,3545,1377
380,Boston,2729,1113
381,Boston,2275,837
382,Boston,2634,999
383,Boston,3295,1317
384,Boston,2414,1108
385,Boston,2723,1168
386,Boston,2592,1112
387,Boston,988,444
388,Boston,2721,1122
389,Boston,3464,1546
390,Boston,2185,952
391,Boston,2544,906
392,Boston,3465,1450
393,Boston,2640,1174
394,Boston,2527,1225
395,Boston,2621,1176
396,Boston,0,0
397,Boston,2,0
398,Boston,533,0
399,Boston,0,0
400,Boston,3017,1236
401,Boston,2286,897
402,Boston,2359,1009
403,Boston,2423,1108
404,Boston,3349,1297
405,Boston,3029,1260
406,Boston,2540,1085
407,Boston,1595,620
408,Boston,3406,1386
409,Boston,3100,1387
410,Boston,2903,1289
411,Boston,1970,814
412,Boston,2507,1025
413,Boston,3761,1612
414,Boston,2341,1021
415,Boston,2648,1148
416,Boston,3841,1554
417,Boston,2785,1202
418,Boston,3226,1362
419,Boston,2172,981
420,Boston,2085,1093
421,Boston,3352,1402
422,Boston,5004,2616
423,Boston,2815,1345
424,Boston,2308,1062
425,Boston,2302,1063
426,Boston,3283,1406
427,Boston,4204,1697
428,Boston,2454,1128
429,Boston,1279,651
430,Boston,2243,1063
431,Boston,4127,1689
432,Boston,4562,2072
433,Boston,2342,806
434,Boston,2881,1287
435,Boston,2316,1066
436,Boston,1880,939
437,Boston,966,504
438,Boston,2619,1319
439,Boston,2600,1191
440,Boston,2078,925
441,Boston,2647,1149
442,Boston,1817,848
443,Boston,2603,993
444,Boston,3213,1387
445,Boston,822,358
446,Boston,643,298
447,Boston,2563,1280
448,Winthrop,2573,1315
449,Winthrop,2135,1108
450,Winthrop,3594,1773
451,Winthrop,2739,1232
452,Winthrop,2681,1185
453,Winthrop,2125,962
454,Winthrop,3475,1835
455,Chelsea,969,138
456,Chelsea,678,340
457,Chelsea,2557,868
458,Chelsea,931,399
459,Chelsea,1742,735
460,Chelsea,1988,726
461,Chelsea,2376,909
462,Chelsea,2165,1144
463,Chelsea,1941,846
464,Chelsea,336,130
465,Chelsea,0,0
466,Chelsea,0,0
467,Chelsea,329,178
468,Chelsea,2589,1131
469,Chelsea,2150,870
470,Chelsea,1217,488
471,Chelsea,2828,1092
472,Chelsea,2247,900
473,Chelsea,1442,695
474,Chelsea,3092,1160
475,Chelsea,2424,1023
476,Chelsea,2267,958
477,Chelsea,2602,1097
478,Revere,4147,1818
479,Revere,2460,1083
480,Revere,1857,795
481,Revere,687,304
482,Revere,1971,794
483,Revere,3823,1608
484,Revere,1279,643
485,Revere,111,42
486,Revere,395,152
487,Revere,2096,862
488,Revere,2886,1244
489,Revere,2250,950
490,Revere,3680,1662
491,Revere,4287,1849
492,Revere,2073,970
493,Revere,2500,1077
494,Revere,2124,1192
495,Revere,3114,1714
496,Revere,3388,1582
497,Revere,2218,1024
498,Revere,2565,1232
499,Revere,1032,417
500,Revere,1722,877
501,Revere,2749,1272
502,Everett,1555,703
503,Everett,935,390
504,Everett,1242,657
505,Everett,1763,726
506,Everett,4005,1782
507,Everett,3225,1354
508,Everett,3873,1794
509,Everett,2435,1139
510,Everett,2017,817
511,Everett,3000,1224
512,Everett,2159,908
513,Everett,2742,1137
514,Everett,2501,1073
515,Everett,3684,1685
516,Everett,3417,1443
517,Everett,1280,524
518,Everett,2578,1066
519,Everett,2492,1136
520,Malden,1285,478
521,Malden,2253,850
522,Malden,2602,942
523,Malden,1949,804
524,Malden,3537,1306
525,Malden,4042,1675
526,Malden,3942,1429
527,Malden,18,2
528,Malden,0,0
529,Malden,2585,1107
530,Malden,1438,567
531,Malden,1780,658
532,Malden,2987,1259
533,Malden,3253,1391
534,Malden,2476,938
535,Malden,3173,1366
536,Malden,3667,1441
537,Malden,1064,414
538,Malden,3758,1462
539,Malden,1701,726
540,Malden,3005,1350
541,Malden,2091,983
542,Malden,2522,1089
543,Malden,3312,1203
544,Malden,2145,882
545,Malden,2751,1084
546,Malden,3137,1504
547,Malden,2392,1043
548,Malden,2216,994
549,Malden,2731,1109
550,Medford,3925,1736
551,Medford,661,234
552,Medford,2388,1028
553,Medford,2771,1379
554,Medford,1942,674
555,Medford,2129,293
556,Medford,3367,1490
557,Medford,2272,914
558,Medford,2205,854
559,Medford,1572,747
560,Medford,1942,972
561,Medford,1973,908
562,Medford,2044,844
563,Medford,0,0
564,Medford,0,0
565,Medford,1668,764
566,Medford,4966,1836
567,Medford,3716,1384
568,Medford,2920,1205
569,Medford,3059,1306
570,Medford,3348,1312
571,Medford,3928,1556
572,Medford,2894,1312
573,Medford,2494,1042
574,Medford,2329,994
575,Medford,3236,1370
576,Medford,2271,1074
577,Medford,2497,1160
578,Medford,1868,705
579,Somerville,1488,777
580,Somerville,1382,781
581,Somerville,301,143
582,Somerville,1999,1038
583,Somerville,2140,976
584,Somerville,3088,1584
585,Somerville,1951,935
586,Somerville,1964,1041
587,Somerville,1985,838
588,Somerville,2038,923
589,Somerville,2948,1366
590,Somerville,1658,710
591,Somerville,1558,704
592,Somerville,547,219
593,Somerville,2582,1204
594,Somerville,2210,1228
595,Somerville,0,0
596,Somerville,1351,597
597,Somerville,2160,762
598,Somerville,2140,969
599,Somerville,2184,1024
600,Somerville,3562,1698
601,Somerville,2717,1184
602,Somerville,2478,1186
603,Somerville,1220,475
604,Somerville,290,86
605,Somerville,2735,1378
606,Somerville,3441,1548
607,Somerville,3765,1746
608,Somerville,964,465
609,Somerville,271,110
610,Somerville,2787,1214
611,Somerville,2090,1120
612,Somerville,1958,1011
613,Somerville,3518,1685
614,Somerville,3090,1676
615,Somerville,3674,1849
616,Somerville,2252,1103
617,Somerville,1676,828
618,Somerville,2609,1012
619,Somerville,1912,899
620,Somerville,2847,1337
621,Somerville,2893,431
622,Somerville,2823,1426
623,Somerville,2213,930
624,Somerville,2148,1042
625,Cambridge,4995,3236
626,Cambridge,392,166
627,Cambridge,374,162
628,Cambridge,406,180
629,Cambridge,1439,715
630,Cambridge,1074,452
631,Cambridge,3319,379
632,Cambridge,2066,986
633,Cambridge,283,108
634,Cambridge,1134,544
635,Cambridge,774,323
636,Cambridge,1249,598
637,Cambridge,737,402
638,Cambridge,3115,1790
639,Cambridge,668,295
640,Cambridge,578,290
641,Cambridge,380,0
642,Cambridge,1521,708
643,Cambridge,415,0
644,Cambridge,3706,86
645,Cambridge,0,0
646,Cambridge,2251,1031
647,Cambridge,1484,690
648,Cambridge,1317,592
649,Cambridge,1419,633
650,Cambridge,955,405
651,Cambridge,2528,1113
652,Cambridge,0,0
653,Cambridge,3308,1355
654,Cambridge,999,422
655,Cambridge,148,20
656,Cambridge,1215,554
657,Cambridge,108,2
658,Cambridge,595,222
659,Cambridge,1694,46
660,Cambridge,1168,543
661,Cambridge,1042,453
662,Cambridge,1845,899
663,Cambridge,1452,694
664,Cambridge,465,247
665,Cambridge,1932,899
666,Cambridge,2946,1430
667,Cambridge,2443,1194
668,Cambridge,1022,479
669,Cambridge,1212,585
670,Cambridge,1814,822
671,Cambridge,1086,510
672,Cambridge,2220,1030
673,Cambridge,1171,632
674,Cambridge,3048,1383
675,Cambridge,2284,1199
676,Cambridge,1700,878
677,Cambridge,925,408
678,Cambridge,2056,960
679,Cambridge,378,174
680,Cambridge,1424,646
681,Cambridge,1097,575
682,Cambridge,2725,614
683,Cambridge,3646,1086
684,Cambridge,1715,38
685,Cambridge,270,120
686,Cambridge,613,280
687,Cambridge,517,155
688,Cambridge,72,20
689,Cambridge,67,20
690,Cambridge,1115,261
691,Cambridge,1471,12
692,Cambridge,0,0
693,Cambridge,209,60
694,Cambridge,2780,1539
