TAZ_ID,State,County,Town,RPA,Minority,Low_inc,Jobs30Hwy,Jobs60Trn,Retl30Hwy,Retl60Trn,HEdu20Hwy,HEdu40Trn,Heal20Hwy,Heal40Trn,TrnProdTm,TrnAttrTm,HwyProdTm,HwyAttrTm,JobsAccCmp,RetlAccCmp,HEduAccCmp,HealAccCmp,CongVMT_sqmi,TotalVMT_sqmi,TotalVHT_sqmi,CO_sqmi,NOX_sqmi,VOC_sqmi,CO2_sqmi
11,MA,Suffolk,Boston,MAPC,0.127228027,0.336944745,860311,992044,102467,113845,49152,205318,2358,5174.333496,32.216225,32.011822,31.283276,29.254469,918407.75,107484.9141,118024.125,3600.055908,107689.6251,157782.9049,17964.60687,192.079067,8.241818,6.432001,70903.89111
12,MA,Suffolk,Boston,MAPC,0.038194444,0.329341317,847664,959164,103517,108834,37380,174744,2620,4455.833496,36.678444,36.654709,38.294609,36.821198,889772.125,105524.9609,89255.60156,3313.303955,70043.92939,117349.0364,10502.06641,154.527724,7.036229,4.663514,52746.51176
13,MA,Suffolk,Boston,MAPC,0.097207859,0.334983498,962660,975144,120159,110004,54438,202728,2776,3167.5,36.931168,36.820717,35.541634,36.203571,968115.5,115721.2813,119240.4922,2947.084717,669144.6107,886292.8656,83394.29089,1051.675798,60.074457,34.533534,400345.9814
14,MA,Suffolk,Boston,MAPC,0.243781095,0.401785714,959892,1001972,120618,113219,61398,231768,1147,4585.333496,37.807217,37.173157,37.643654,38.166264,978104.6875,117415.6172,135136.2813,2635.154053,718631.8206,914523.7874,97025.87949,1345.777729,75.095446,45.812956,512423.6922
15,MA,Suffolk,Boston,MAPC,0,0,961285,1018804,120495,116105,61398,219742,1870,4660.333496,39.54818,38.633774,46.009144,46.644035,987558,118489.7734,133724.9063,3144.542725,626250.5186,830984.966,58715.62214,982.025141,60.193893,29.432311,350546.9871
16,MA,Suffolk,Boston,MAPC,0,0,1024508,1034648,126481,118702,63453,220468,1870,5095.333496,38.232285,37.530338,44.641781,46.387627,1029227.688,122860.1953,136537.0156,3371.26001,0,0,0,0,0,0,0
17,MA,Suffolk,Boston,MAPC,0.224747475,0.394366197,1070750,1026831,131044,117182,46281,219954,2305,5095.333496,36.682995,36.499146,37.950089,40.381313,1050713.375,124719.8984,125513.7734,3578.000732,75527.05919,149438.5442,24126.93157,255.765453,8.464138,9.141182,94620.54368
18,MA,Suffolk,Boston,MAPC,0.24691358,0.395973154,1085015,1006890,131191,113192,51327,220410,2305,4376.833496,36.804295,36.695148,37.718647,40.028679,1049612.25,123034.6719,127947.7109,3243.860352,0,0,0,0,0,0,0
19,MA,Suffolk,Boston,MAPC,0,0,1026267,1007960,125997,114804,63453,219742,1870,4660.333496,36.327404,36.034069,38.151127,38.798714,1017870.188,120863.125,135137.8281,3149.837891,2063807.733,2282226.761,142557.0758,2380.92696,124.894439,73.029261,846531.3387
20,MA,Suffolk,Boston,MAPC,0,0,1078706,997459,130033,112628,51327,220323,2305,3954.833252,32.062641,32.346085,24.267006,25.339809,1046370.125,123105.9141,118586.4141,2961.624023,2394802.29,3744279.597,182963.0996,3541.320017,176.817123,92.636534,1091492.407
21,MA,Suffolk,Boston,MAPC,0.289812332,0.298538622,945810,1011163,112070,116188,106149,209093,1700.5,4360,35.617085,35.237103,32.719471,34.045952,983497.6875,114444.7656,165514.7344,3234.179932,514682.3123,655625.4586,70992.91837,814.626634,33.444361,27.507207,299190.7658
22,MA,Suffolk,Boston,MAPC,0,0,967807,973358,112522,111781,107812,212817,1897.5,3466.333252,42.457691,41.5905,48.966415,54.083954,970701.5625,112135.6094,162566.4531,2715.562256,264681.9605,375366.6012,26228.19395,382.080212,15.247366,12.573039,138564.5158
23,MA,Suffolk,Boston,MAPC,0.25,0,990923,1011929,114494,116510,153759,232494,1897.5,5163.333496,37.01614,36.168331,45.797314,50.452526,1002668.813,115621.2656,197784.6406,3723.630371,0,0,0,0,0,0,0
24,MA,Suffolk,Boston,MAPC,0.332369942,0.256684492,998050,1012296,115154,116463,141121,211769,1672.5,4906.333496,39.17881,39.106148,39.295628,41.902374,1006056.5,115889.6797,180826.2969,3489.965088,146018.8587,200997.7779,26732.9877,297.709948,15.653405,10.066153,112084.3892
25,MA,Suffolk,Boston,MAPC,0.120041216,0.277915633,966228,1007930,111158,114251,148747,232494,2541.833252,5163.333496,29.039766,29.023952,24.689913,24.90476,986653.4375,112672.9375,189765.6563,3825.824463,679248.9733,978463.9985,68236.01019,1004.408731,41.011071,31.704991,352237.8567
26,MA,Suffolk,Boston,MAPC,0.090106007,0.219730942,1010268,978879,118039,108680,200489,200489,3398.833252,4989.333496,32.951626,32.936981,24.668777,25.823982,997227.625,114150.875,200489,4059.596191,536619.8563,680648.9889,44243.74393,678.239869,23.385708,20.78665,226162.4848
27,MA,Suffolk,Boston,MAPC,0.183762376,0.321428571,977939,1002165,112677,114057,156791,212515,1672.5,4659.333496,31.381598,31.825096,23.628601,24.59392,990009.375,113364.5781,184554.8438,3160.655029,267977.5876,366113.1155,42537.04254,629.955858,41.491263,23.625007,267955.1444
28,MA,Suffolk,Boston,MAPC,0.099599822,0.219952867,992638,992440,115564,112761,170480,212515,2033.333374,4989.333496,32.191422,32.616043,26.637302,27.93833,992545.25,114251.3203,190165.4219,3417.658691,71693.33786,144715.663,16281.60771,226.9413,20.034469,8.048115,99186.29491
